Tahun,Provinsi,Nilai Investasi
2013,Sumatera Utara,0
2013,Sumatera Utara,24295600000
2013,Sumatera Utara,15912300000
2013,Sumatera Utara,13810200000
2013,Sumatera Utara,1068100000
2013,Sumatera Utara,12679400000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,3100000000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,64598900000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,13042600000
2013,Sumatera Utara,0
2013,Sumatera Utara,33800000
2013,Sumatera Utara,3370500000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,1910400000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,378003500000
2013,Sumatera Utara,1500000
2013,Sumatera Utara,0
2013,Sumatera Utara,7247200000
2013,Sumatera Utara,0
