tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,18,,8,2023,1.3766,Basis,386101307160.09,"Maju dan Tumbuh Cepat"
provinsi,18,,9,2023,0.4995,"Non Basis",130243002076.16,"Potensial / Cepat Berkembang"
provinsi,18,,10,2023,0.8077,"Non Basis",-12761712341.02,"Relatif Tertinggal"
provinsi,18,,11,2023,0.4562,"Non Basis",-79523022179.21,"Relatif Tertinggal"
provinsi,18,,12,2023,0.9842,"Non Basis",-44191586711.97,"Relatif Tertinggal"
provinsi,18,,13,2023,0.078,"Non Basis",-9600645861.22,"Relatif Tertinggal"
provinsi,18,,14,2023,0.926,"Non Basis",-112090633916.8,"Relatif Tertinggal"
provinsi,18,,15,2023,0.9557,"Non Basis",35373419156.37,"Potensial / Cepat Berkembang"
provinsi,18,,16,2023,0.7429,"Non Basis",-21924083041.06,"Relatif Tertinggal"
provinsi,18,,17,2023,0.5609,"Non Basis",131424399096.73,"Potensial / Cepat Berkembang"
provinsi,18,,1,2024,2.0494,Basis,-1829919336599.4,"Maju tapi Tertekan"
provinsi,18,,2,2024,0.6115,"Non Basis",-4077125449.42,"Relatif Tertinggal"
provinsi,18,,3,2024,0.8635,"Non Basis",2143569080617.6,"Potensial / Cepat Berkembang"
provinsi,18,,4,2024,0.1327,"Non Basis",-48702127650.13,"Relatif Tertinggal"
provinsi,18,,5,2024,1.1415,Basis,-5355078620.3,"Maju tapi Tertekan"
provinsi,18,,6,2024,1.0057,Basis,-1197473037941.9,"Maju tapi Tertekan"
provinsi,18,,7,2024,1.084,Basis,895857175662.58,"Maju dan Tumbuh Cepat"
provinsi,18,,8,2024,1.3983,Basis,200977547412.85,"Maju dan Tumbuh Cepat"
provinsi,18,,9,2024,0.4885,"Non Basis",-127773838337.54,"Relatif Tertinggal"
provinsi,18,,10,2024,0.8198,"Non Basis",156685788785.3,"Potensial / Cepat Berkembang"
provinsi,18,,11,2024,0.4589,"Non Basis",3783498652.26,"Potensial / Cepat Berkembang"
provinsi,18,,12,2024,1.0304,Basis,330064873967.91,"Maju dan Tumbuh Cepat"
provinsi,18,,13,2024,0.0788,"Non Basis",2500004619.17,"Potensial / Cepat Berkembang"
provinsi,18,,14,2024,0.9363,"Non Basis",50429834112.96,"Potensial / Cepat Berkembang"
provinsi,18,,15,2024,0.9396,"Non Basis",-178096958215.66,"Relatif Tertinggal"
provinsi,18,,16,2024,0.741,"Non Basis",-23881575357.43,"Relatif Tertinggal"
provinsi,18,,17,2024,0.5681,"Non Basis",26084711624.92,"Potensial / Cepat Berkembang"
provinsi,18,,1,2025,2.0585,Basis,401699729079.91,"Maju dan Tumbuh Cepat"
provinsi,18,,2,2025,0.6077,"Non Basis",-68187021433.53,"Relatif Tertinggal"
provinsi,18,,3,2025,0.871,"Non Basis",528561369469.36,"Potensial / Cepat Berkembang"
provinsi,18,,4,2025,0.1246,"Non Basis",-25000334709.82,"Relatif Tertinggal"
provinsi,18,,5,2025,1.1583,Basis,4550577538.24,"Maju dan Tumbuh Cepat"
provinsi,18,,6,2025,1.0213,Basis,500800473849.75,"Maju dan Tumbuh Cepat"
provinsi,18,,7,2025,1.0819,Basis,-37447166548.37,"Maju tapi Tertekan"
provinsi,18,,8,2025,1.378,Basis,-280916940550.63,"Maju tapi Tertekan"
provinsi,18,,9,2025,0.4899,"Non Basis",19438425360.09,"Potensial / Cepat Berkembang"
provinsi,18,,10,2025,0.79,"Non Basis",-619010147868.57,"Relatif Tertinggal"
provinsi,18,,11,2025,0.4672,"Non Basis",108510668181.02,"Potensial / Cepat Berkembang"
provinsi,18,,12,2025,1.033,Basis,31275985109.58,"Maju dan Tumbuh Cepat"
provinsi,18,,13,2025,0.0752,"Non Basis",-21828935060.15,"Relatif Tertinggal"
provinsi,18,,14,2025,0.9253,"Non Basis",-95014491476.54,"Relatif Tertinggal"
provinsi,18,,15,2025,0.9105,"Non Basis",-250551015088.12,"Relatif Tertinggal"
provinsi,18,,16,2025,0.7168,"Non Basis",-102940051142.89,"Relatif Tertinggal"
provinsi,18,,17,2025,0.5544,"Non Basis",-87729252797.06,"Relatif Tertinggal"
provinsi,11,,1,2022,2.1577,Basis,385399097676.11,"Maju dan Tumbuh Cepat"
provinsi,11,,2,2022,1.0047,Basis,-8884546565.23,"Maju tapi Tertekan"
provinsi,11,,3,2022,0.2145,"Non Basis",-43646710838.75,"Relatif Tertinggal"
