provinsi_id,sektor_id,tahun,nilai
15,2,2022,38502030000000
15,3,2022,16213290000000
15,4,2022,97020000000
15,5,2022,219780000000
15,6,2022,11919010000000
15,7,2022,15862790000000
15,8,2022,5190270000000
15,9,2022,1845600000000
15,10,2022,6794210000000
15,11,2022,3647830000000
15,12,2022,2378190000000
15,13,2022,1773380000000
15,14,2022,4897510000000
15,15,2022,5321830000000
15,16,2022,2160690000000
15,17,2022,1640140000000
15,1,2023,45698370000000
15,2,2023,38517960000000
15,3,2023,16892880000000
15,4,2023,108810000000
15,5,2023,220250000000
15,6,2023,12870480000000
15,7,2023,17253080000000
15,8,2023,5620460000000
15,9,2023,2007340000000
15,10,2023,7303950000000
15,11,2023,3692370000000
15,12,2023,2456560000000
15,13,2023,2071950000000
15,14,2023,5045810000000
15,15,2023,5457120000000
